SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerID,Item,Quantity,UnitPrice,TaxAmount
SO20000,2,2024-08-24,CUST2373,Running Shorts,4,278.63,55.73
SO20001,2,2024-10-06,CUST2779,Vacuum Cleaner,4,111.58,22.32
SO20002,2,2024-08-02,CUST2732,Tennis Racket,6,152.03,45.61
SO20003,3,2024-09-21,CUST1815,Children's Book,3,6.62,0.99
SO20004,2,2025-03-18,CUST2913,Doll,7,31.13,10.9
SO20005,3,2024-12-30,CUST1241,Vitamin Supplements,2,247.52,24.75
SO20006,2,2024-09-17,CUST2392,Pruning Shears,9,307.9,138.56
SO20007,1,2024-08-05,CUST2277,Remote Car,7,6.8,2.38
SO20008,3,2024-07-04,CUST1977,Coffee Maker,2,493.13,49.31
SO20009,4,2025-03-30,CUST1598,Car Vacuum,4,98.41,19.68
SO20010,1,2024-10-08,CUST1783,First Aid Kit,3,102.73,15.41
SO20011,3,2024-09-29,CUST2199,Running Shoes,9,37.97,17.09
SO20012,1,2025-03-05,CUST1976,Hand Sanitizer,5,67.13,16.78
SO20013,3,2024-11-05,CUST2508,Blood Pressure Monitor,4,172.01,34.4
SO20014,2,2024-08-12,CUST2431,Jacket,7,178.65,62.53
SO20015,2,2025-03-05,CUST1169,Blood Pressure Monitor,5,172.01,43.0
SO20016,2,2024-11-18,CUST1637,Nail Polish,6,101.32,30.4
SO20017,2,2024-06-16,CUST1983,Blood Pressure Monitor,1,172.01,8.6
SO20018,4,2024-11-06,CUST1558,Doll,1,31.13,1.56
SO20019,3,2025-05-25,CUST1370,Cookbook,9,42.12,18.95
SO20020,2,2024-08-01,CUST2979,Bluetooth Speaker,5,781.62,195.4
SO20021,2,2024-09-19,CUST2249,Garden Hose,9,137.73,61.98
SO20022,3,2025-04-17,CUST2016,Cookbook,8,42.12,16.85
SO20023,4,2025-02-19,CUST2640,Children's Book,3,6.62,0.99
SO20024,4,2025-02-20,CUST2422,Pruning Shears,7,307.9,107.76
SO20025,1,2024-11-19,CUST2782,Car Cover,8,380.21,152.08
SO20026,2,2024-12-17,CUST2450,Moisturizer,9,145.13,65.31
SO20027,4,2024-09-17,CUST1330,Smartphone,8,893.23,357.29
SO20028,1,2025-03-19,CUST1100,Hand Sanitizer,2,67.13,6.71
SO20029,1,2024-08-27,CUST2020,Yoga Mat,5,127.99,32.0
SO20030,2,2025-05-14,CUST1195,Running Shoes,6,37.97,11.39
